<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.03.03;08:00:00;1.21910;1.22160;1.21310;1.21400;2055;0;40
2004.03.03;12:00:00;1.21410;1.21770;1.21030;1.21530;2095;0;40
2004.03.03;16:00:00;1.21520;1.21810;1.20560;1.21510;2273;0;40
2004.03.03;20:00:00;1.21510;1.22200;1.21490;1.21930;1648;0;40
2004.03.04;00:00:00;1.21940;1.21970;1.21480;1.21560;1428;0;40
2004.03.04;04:00:00;1.21540;1.22090;1.21530;1.22050;1449;0;40
2004.03.04;08:00:00;1.22040;1.22430;1.21550;1.21760;1977;0;40
2004.03.04;12:00:00;1.21770;1.22210;1.21340;1.21640;2366;0;40
2004.03.04;16:00:00;1.21650;1.22400;1.21550;1.21810;2193;0;40
2004.03.04;20:00:00;1.21800;1.22100;1.21780;1.21910;1445;0;40
2004.03.05;00:00:00;1.21860;1.22130;1.21840;1.22000;1332;0;40
2004.03.05;04:00:00;1.22010;1.22240;1.21920;1.22060;1406;0;40
2004.03.05;08:00:00;1.22060;1.22160;1.21750;1.21970;1870;0;40
2004.03.05;12:00:00;1.21980;1.23910;1.21740;1.23720;2503;0;40
2004.03.05;16:00:00;1.23720;1.24330;1.23700;1.23770;2140;0;40
2004.03.05;20:00:00;1.23780;1.23890;1.23570;1.23610;1248;0;40
2004.03.08;00:00:00;1.23660;1.23830;1.23370;1.23640;1356;0;40
2004.03.08;04:00:00;1.23640;1.23950;1.23550;1.23750;1425;0;40
2004.03.08;08:00:00;1.23770;1.23900;1.23420;1.23750;1793;0;40
2004.03.08;12:00:00;1.23740;1.23880;1.23450;1.23790;1797;0;40
2004.03.08;16:00:00;1.23800;1.24180;1.23430;1.23960;1918;0;40
2004.03.08;20:00:00;1.23950;1.24130;1.23810;1.23980;1495;0;40
2004.03.09;00:00:00;1.23990;1.24550;1.23980;1.24390;1395;0;40
2004.03.09;04:00:00;1.24410;1.24630;1.24350;1.24560;1402;0;40
2004.03.09;08:00:00;1.24550;1.24580;1.23590;1.23690;1933;0;40
2004.03.09;12:00:00;1.23700;1.24020;1.23510;1.24010;2007;0;40
